x,y
88.9,25.2
88.84741174069411,25.057430818882295
88.79422408062148,24.915343855513925
88.74043995145156,24.773738607322976
88.68606228485386,24.63261457173753
88.63109401249785,24.49197124618569
88.57553806605304,24.351808128095527
88.5193973771889,24.212124714895143
88.4626748775749,24.072920504012618
88.40537349888054,23.93419499287604
88.3474961727753,23.795947678913503
88.28904583092867,23.658178059553094
88.23002540501014,23.5208856322229
88.1704378266892,23.384069894351004
88.11028602763533,23.247730343365504
88.04957293951799,23.111866476694484
87.98830149400669,22.97647779176603
87.92647462277093,22.84156378600823
87.86409525748016,22.707123956849177
87.80116632980389,22.573157801716953
87.7376907714116,22.43966481803965
87.67367151397276,22.306644503245355
87.60911148915689,22.17409635476216
87.54401362863342,22.04201987001815
87.47838086407191,21.910414546441416
87.41221612714176,21.77927988146004
87.34552234951254,21.648615372502114
87.27830246285367,21.518420516995725
87.21055939883466,21.388694812368964
87.142296089125,21.259437756049916
87.07351546539417,21.130648845466677
87.00422045931164,21.00232757804732
86.93441400254693,20.87447345121995
86.86409902676951,20.747085962412644
86.79327846364885,20.620164609053493
86.72195524485444,20.493708888570588
86.6501323020558,20.36771829839202
86.57781256692235,20.242192335945866
86.50499897112363,20.117130498660227
86.4316944463291,19.99253228396318
86.35790192420824,19.86839718928282
86.28362433643056,19.744724712047233
86.20886461466554,19.62151434968451
86.13362569058266,19.498765599622736
86.05791049585142,19.37647795929
85.98172196214125,19.254650926114387
85.9050630211217,19.133283997523993
85.82793660446222,19.012376670946903
85.7503456438323,18.891928443811203
85.67229307090145,18.77193881354498
85.59378181733912,18.652407277576327
85.51481481481481,18.533333333333328
85.435394994998,18.414716478244078
85.3555252895582,18.296556209736657
85.27520863016487,18.178852025239156
85.1944479484875,18.06160342217967
85.11324617619556,17.94480989798628
85.03160624495857,17.82847095008707
84.949531086446,17.712586075910135
84.86702363232732,17.597154772883563
84.78408681427204,17.482176538435443
84.70072356394964,17.367650869993856
84.61693681302957,17.253577264986905
84.53272949318135,17.139955220842662
84.44810453607448,17.026784234989226
84.3630648733784,16.914063804854678
84.27761343676264,16.801793427867107
84.19175315789666,16.689972601454606
84.10548696844994,16.578600823045267
84.01881780009198,16.467677590067165
83.93174858449225,16.3572023999484
83.84428225332026,16.247174750117058
83.75642173824548,16.13759413800122
83.6681699709374,16.02846006102898
83.57952988306548,15.919772016628425
83.49050440629924,15.811529502227646
83.40109647230815,15.703732015254731
83.3113090127617,15.596379053137762
83.22114495932938,15.489470113304836
83.13060724368064,15.383004693184033
83.03969879748503,15.276982290203446
82.94842255241198,15.171402401791164
82.85678144013099,15.06626452537527
82.76477839231154,14.961568158383859
82.67241634062314,14.857312798245015
82.57969821673525,14.753497942386828
82.48662695231738,14.650123088237386
82.39320547903898,14.547187733224774
82.29943672856957,14.444691374777086
82.20532363257863,14.342633510322406
82.11086912273561,14.241013637288823
82.01607613071003,14.139831253104427
81.92094758817137,14.039085855197303
